type,subtype,name,has_adfree,homepage,signup,lat,lon,area,image
news,NY,The Daily Freeman,yes,https://www.dailyfreeman.com/,https://checkout.dailyfreeman.com/,41.927,-73.999594,east,https://medianewsgroup.com/wp-content/uploads/2022/09/DAILY-FREEMAN-LOGO.jpg
news,CO,The Denver Post,yes,https://www.denverpost.com/,https://checkout.denverpost.com/,39.7392,-104.992494,west,https://www.medianewsgroup.com/wp-content/uploads/2022/09/Denver-Post-logo.png
news,CO,The Fort Morgan Times,yes,https://www.fortmorgantimes.com/,https://checkout.fortmorgantimes.com/,40.2503,-103.8,west,https://medianewsgroup.com/wp-content/uploads/2022/09/Fort-Morgan-Times-logo.png
news,PA,The Lansdale Reporter,yes,https://www.thereporteronline.com/,https://checkout.thereporteronline.com/,40.2415,-75.285994,east,https://medianewsgroup.com/wp-content/uploads/2022/09/TheReporter.jpg
news,MI,The Macomb Daily,yes,https://www.macombdaily.com/,https://checkout.macombdaily.com/,42.6652,-82.930794,midwest,https://medianewsgroup.com/wp-content/uploads/2022/09/MacombDailyvector.png
news,PA,The Mercury,yes,https://www.pottsmerc.com/,https://checkout.pottsmerc.com/,40.2454,-75.651794,east,https://medianewsgroup.com/wp-content/uploads/2022/09/TheMercury.jpg
news,CA,The Mercury News,yes,https://www.mercurynews.com/,https://checkout.mercurynews.com/,37.3387,-121.887494,west,https://medianewsgroup.com/wp-content/uploads/2022/09/THE-Mercury-News-logo-2.png
news,OH,The Morning Journal,yes,https://www.morningjournal.com/,https://checkout.morningjournal.com/,41.4528,-82.184594,midwest,https://medianewsgroup.com/wp-content/uploads/2022/09/TheMorningJournal-1.png
news,OH,The News-Herald,yes,https://www.news-herald.com/,https://checkout.news-herald.com/,41.6478816,-81.3914893,midwest,https://medianewsgroup.com/wp-content/uploads/2022/09/TheNewsHerald.png
news,MI,The Oakland Press,yes,https://www.theoaklandpress.com/,https://checkout.theoaklandpress.com/,42.5922,-83.338394,midwest,https://medianewsgroup.com/wp-content/uploads/2022/09/OaklandPress1LineBlue.png
news,CA,The Orange County Register,yes,https://www.ocregister.com/,https://checkout.ocregister.com/,33.8047833,-117.9009129,west,https://medianewsgroup.com/wp-content/uploads/2022/09/The_Orange_County_Register.jpg
news,CA,The Press-Enterprise,yes,https://www.pressenterprise.com/,https://checkout.pressenterprise.com/,33.9806,-117.377694,west,https://medianewsgroup.com/wp-content/uploads/2022/09/The_Press-Enterprise.png
news,PA,The Reading Eagle,yes,https://www.readingeagle.com/,https://checkout.readingeagle.com/,40.3356,-75.929094,east,
news,CA,The Reporter,yes,https://www.thereporter.com/,https://checkout.thereporter.com/,38.3566,-121.9877,west,https://medianewsgroup.com/wp-content/uploads/2022/09/Weekly-Review-Logo.png
news,NY,The Saratogian,yes,https://www.saratogian.com/,https://checkout.saratogian.com/,43.0615524,-73.91527,east,https://medianewsgroup.com/wp-content/uploads/2022/09/saratogian-with-web.jpg
news,NJ,The Trentonian,yes,https://www.trentonian.com/,https://checkout.trentonian.com/,40.2206,-74.761894,east,https://medianewsgroup.com/wp-content/uploads/2022/09/TheTrentonian.jpg
news,NY,The Troy Record,yes,https://www.troyrecord.com/,https://checkout.troyrecord.com/,42.7284,-73.693994,east,https://medianewsgroup.com/wp-content/uploads/2022/09/TheRecord-with-web.jpg
news,MN,Twin Cities Pioneer Press,yes,https://www.twincities.com/,https://checkout.twincities.com/,44.9426461,-93.083544,midwest,https://medianewsgroup.com/wp-content/uploads/2022/10/Screen-Shot-2022-10-05-at-6.33.22-PM.png
news,CA,Ukiah Daily Journal,yes,https://www.ukiahdailyjournal.com/,https://checkout.ukiahdailyjournal.com/,39.1502,-123.2078,west,https://medianewsgroup.com/wp-content/uploads/2022/09/ukiah-logo-png.png
news,CA,Vallejo Times-Herald,yes,https://www.timesheraldonline.com/,https://checkout.timesheraldonline.com/,38.1041,-122.2566,west,https://medianewsgroup.com/wp-content/uploads/2022/09/TIMES-HERALD-LOGO-PNG.png
